plc_time_lb1_ms,plc_time_lb2_ms,plc_time_lb3_ms,plc_time_lb4_ms,plc_time_lb5_ms,plc_time_lb6_ms,plc_time_lb7_ms,plc_time_lb8_ms,speed_1_2_mm_per_sec,speed_2_3_mm_per_sec,speed_3_4_mm_per_sec,speed_4_5_mm_per_sec,speed_5_6_mm_per_sec,speed_6_7_mm_per_sec,speed_7_8_mm_per_sec
228071,228237,228630,228704,229001,229055,229249,229298,240.96385542168676,498.72773536895676,540.5405405405405,659.9326599326599,740.7407407407408,1010.3092783505155,816.3265306122449
228099,228254,228692,228714,234378,234429,234614,234660,258.06451612903226,447.48858447488584,1818.1818181818182,34.6045197740113,784.3137254901961,1059.4594594594594,869.5652173913044
228209,228339,234052,234117,238791,238868,239138,239200,307.6923076923077,34.307719236828284,615.3846153846154,41.93410355156183,519.4805194805194,725.925925925926,645.1612903225806
233579,233783,234061,234125,242529,242574,242734,242773,196.07843137254903,705.0359712230215,625.0,23.322227510709187,888.8888888888889,1225.0,1025.6410256410256
233602,237753,238352,238369,246992,247035,247187,247224,9.63623223319682,327.21202003338897,2352.9411764705883,22.72990838455294,930.2325581395348,1289.4736842105262,1081.081081081081
233671,237776,242225,242287,252641,252826,254236,254616,9.7442143727162,44.054843785120255,645.1612903225806,18.92988217114159,216.21621621621622,139.00709219858157,105.26315789473684
237565,237876,242234,242295,257430,257481,257669,257719,128.61736334405145,44.97475906379073,655.7377049180328,12.950115626032375,784.3137254901961,1042.5531914893618,800.0
237595,241970,242265,242324,262093,262140,262313,262355,9.142857142857142,664.4067796610169,677.9661016949152,9.914512620769893,851.063829787234,1132.9479768786127,952.3809523809524
237723,246463,246704,246764,266810,266854,267015,267056,4.576659038901602,813.2780082987551,666.6666666666666,9.777511723037016,909.0909090909091,1217.391304347826,975.609756097561
241866,250716,251393,251702,271471,271519,271696,271739,4.519774011299435,289.5125553914328,129.44983818770226,9.914512620769893,833.3333333333334,1107.3446327683616,930.2325581395348
246364,250868,251426,257156,277028,277089,277305,277358,8.880994671403197,351.2544802867383,6.980802792321117,9.863123993558776,655.7377049180328,907.4074074074074,754.7169811320755
250544,256768,257088,257208,282276,282324,282498,282540,6.426735218508997,612.5,333.3333333333333,7.818733046114568,833.3333333333334,1126.4367816091954,952.3809523809524
250574,256783,257098,261836,285670,285712,285871,285912,6.442261233693026,622.2222222222222,8.442380751371887,8.223546194512041,952.3809523809524,1232.7044025157234,975.609756097561
250688,256848,257145,261844,289441,289487,289657,289699,6.4935064935064934,659.9326599326599,8.512449457331346,7.102221255933616,869.5652173913044,1152.9411764705883,952.3809523809524
256645,261445,261773,261885,292831,292878,293050,293092,8.333333333333334,597.560975609756,357.14285714285717,6.333613391068313,851.063829787234,1139.5348837209303,952.3809523809524
256665,261460,261782,266612,296318,296364,296531,296573,8.342022940563087,608.695652173913,8.281573498964804,6.597993671312193,869.5652173913044,1173.6526946107786,952.3809523809524
256748,261526,261825,271266,300139,300192,300385,300432,8.371703641691084,655.5183946488295,4.23683931786887,6.788348976552489,754.7169811320755,1015.5440414507772,851.063829787234
261323,266174,266555,276760,305037,305088,305276,305322,8.245722531436817,514.4356955380578,3.9196472317491424,6.931428369346111,784.3137254901961,1042.5531914893618,869.5652173913044
261343,266190,271207,282017,309072,309120,309294,309337,8.252527336496803,39.067171616503884,3.700277520814061,7.244501940491591,833.3333333333334,1126.4367816091954,930.2325581395348
